PERSON_ID,ES_JEFE,JEFE_OCUPACION,VIVIENDA_TENENCIA,VIVIENDA_TIPO,NRO_PROPIEDADES,INGRESOS,EGRESOS,NRO_VEHICULOS,AVALUO_VEHICULOS,NUMINTEGRANTES,NUMESTUDIANTRES,CLASE
3907688,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,DEPARTAMENTO,0,(169.5-309.5],(799.5-inf),0,0,4,0,clase1
5366163,FALSE,SERVICIO,ARRENDADA,DEPARTAMENTO,0,(82.5-169.5],(-inf-301],0,0,4,1,clase1
5882887,FALSE,SERVICIO,ARRENDADA,DEPARTAMENTO,0,(169.5-309.5],(301-451],0,0,4,1,clase2
6181110,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
12835084,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,DEPARTAMENTO,0,(169.5-309.5],(799.5-inf),0,0,3,0,clase1
16120569,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,DEPARTAMENTO,0,(82.5-169.5],(301-451],0,0,[0-2],0,clase1
23735714,FALSE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,DEPARTAMENTO,0,(0.5-82.5],(451-799.5],0,0,5,0,clase2
71502910,FALSE,PROFESIONALES,PROPIA SIN HIPOTECA,DEPARTAMENTO,[2-8],(-inf-0.5],(451-799.5],0,0,[6-15],[3-9],clase4
101236180,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,VILLA,0,(-inf-0.5],(799.5-inf),1,3500,3,0,clase1
101402840,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,DEPARTAMENTO,0,(309.5-inf),(451-799.5],0,0,[0-2],0,clase1
101404879,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
101822609,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
102005386,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,DEPARTAMENTO,0,(309.5-inf),(799.5-inf),[2-4],20000,4,0,clase4
102075330,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,DEPARTAMENTO,0,(169.5-309.5],(451-799.5],0,0,4,0,clase1
102131695,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,DEPARTAMENTO,0,(309.5-inf),(799.5-inf),0,0,3,2,clase1
102132024,FALSE,PROFESIONALES,ARRENDADA,DEPARTAMENTO,0,(169.5-309.5],(301-451],0,0,[0-2],0,clase1
102145174,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
102181443,FALSE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,0,(-inf-0.5],(301-451],0,0,[0-2],0,clase2
102211711,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
102213956,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,DEPARTAMENTO,0,(309.5-inf),(451-799.5],1,6000,4,2,clase1
